TIME(2022/02/09 15:49:20.545),TIMETICK(f=10000000),FPOGX,FPOGY
3.54193,724234374203,0.0,0.0
3.54858,724234441177,0.0,0.0
3.5553,724234508082,0.0,0.0
3.56201,724234574992,0.0,0.0
3.5686,724234640980,0.0,0.0
3.57532,724234708377,0.71947,-0.49385
3.58191,724234773846,0.72843,-0.51258
3.58905,724234845684,0.73141,-0.51882
3.5954,724234909303,0.73141,-0.51882
3.60217,724234976517,0.72865,-0.5031
3.60889,724235043953,0.72699,-0.49367
3.61584,724235113625,0.7268,-0.49978
3.62311,724235185952,0.72617,-0.49995
3.63074,724235262320,0.72571,-0.50008
3.6369,724235324053,0.69483,-0.50473
3.6424,724235379217,0.66801,-0.51539
3.64893,724235444136,0.64607,-0.52412
3.65576,724235512975,0.61691,-0.44694
3.66235,724235578523,0.59195,-0.38119
3.66901,724235645353,0.54424,-0.29354
3.6759,724235714124,0.42139,0.06226
3.68256,724235780563,0.37847,0.17705
3.68927,724235847753,0.29459,0.41044
3.69598,724235914783,0.29668,0.40704
3.70355,724235990504,0.29571,0.40686
3.71002,724236055332,0.29522,0.40677
3.71649,724236119785,0.29839,0.40432
3.72321,724236187361,0.29669,0.40165
3.72943,724236249650,0.29548,0.39974
3.73639,724236318889,0.32292,0.26986
3.74316,724236386594,0.34535,0.15795
3.74939,724236449191,0.4097,-0.16345
3.75635,724236518245,0.38493,-0.36374
3.76294,724236584745,0.40698,-0.55607
3.76971,724236652057,0.40923,-0.48756
3.77637,724236718882,0.36957,-0.19928
3.78308,724236785620,0.33452,0.11036
3.78973,724236852261,0.31816,0.2416
3.79645,724236919341,0.31801,0.28999
3.80426,724236997762,0.31006,0.38133
3.81128,724237067681,0.31036,0.38285
3.81628,724237117858,0.30641,0.38039
3.8233,724237188032,0.30623,0.38732
3.8313,724237268168,0.30611,0.39149
3.83734,724237328658,0.30538,0.38603
3.84369,724237392071,0.30511,0.38322
3.85004,724237455565,0.3049,0.38111
3.85748,724237529827,0.30016,0.27998
3.86346,724237589634,0.30088,0.28922
3.87006,724237655544,0.30146,0.29678
3.87665,724237721507,0.30226,0.30492
3.88348,724237790133,0.3024,0.30914
3.89117,724237866514,0.30252,0.31276
3.89825,724237937677,0.3009,0.23066
3.90356,724237990430,0.34078,-0.20283
3.91016,724238056418,0.35407,-0.34733
3.91699,724238125233,0.41393,-0.62546
3.92346,724238189414,0.40235,-0.56198
3.93036,724238258690,0.39849,-0.54083
3.93677,724238322805,0.39782,-0.56026
3.9436,724238391384,0.37303,-0.30875
3.9505,724238460091,0.3439,0.03592
3.95721,724238527016,0.34446,0.14042
3.96387,724238593848,0.34046,0.36905
3.97021,724238657383,0.35075,0.3731
3.97723,724238727267,0.34514,0.36724
3.98389,724238794109,0.34543,0.36818
3.99072,724238862068,0.34503,0.37171
3.99738,724238929104,0.34356,0.37148
4.00415,724238996329,0.34326,0.37675
4.01068,724239062023,0.34302,0.3807
4.01752,724239130170,0.34325,0.38208
4.0257,724239212206,0.34321,0.38395
4.03119,724239266883,0.34343,0.3841
